City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Jacareacanga,-6.2222,-57.7528,79.11,83,0,3.44,BR,1631800681
Siloam Springs,36.1881,-94.5405,75.29,79,0,1.99,US,1631800753
Saint George,37.1041,-113.5841,75.54,20,0,3.62,US,1631800760
Santa Fe,-31.6333,-60.7,70.02,34,0,4.0,AR,1631801166
Kherson,46.6558,32.6178,76.89,27,0,6.71,UA,1631801300
Vila,42.0304,-8.1588,71.71,62,0,4.34,PT,1631801047
Adelaide,-34.9333,138.6,71.42,27,0,5.01,AU,1631801312
Hurricane,37.1753,-113.2899,74.59,23,0,4.79,US,1631801370
Chu,43.5983,73.7614,76.55,18,0,8.21,KZ,1631801401
San Fernando del Valle de Catamarca,-28.4696,-65.7852,73.78,26,0,5.01,AR,1631801183
